Water 💧 + Water 💧 = Lake 🌊
Steam 💨 + Wave 🌊 = Surf 🏄
Steam 💨 + Plant 🌱 = Tea 🍵
Steam 💨 + Volcano 🌋 = Lava 🌋
Steam 💨 + Smoke 💨 = Cloud ☁️
Steam 💨 + Lava 🌋 = Volcano 🌋
Steam 💨 + Tornado 🌪️ = Tornado 🌪️
Steam 💨 + Dust 🌫️ = Cloud ☁️
Steam 💨 + Mountain 🏔️ = Volcano 🌋
Wave 🌊 + Wave 🌊 = Tsunami 🌊
Wave 🌊 + Plant 🌱 = Seaweed 🌊
Wave 🌊 + Volcano 🌋 = Lava 🌋
Wave 🌊 + Smoke 💨 = Surf 🏄
Wave 🌊 + Lava 🌋 = Stone 🪨
Wave 🌊 + Tornado 🌪️ = Tsunami 🌊
Wave 🌊 + Dust 🌫️ = Sand 🏖️
Wave 🌊 + Mountain 🏔️ = Tsunami 🌊
Plant 🌱 + Plant 🌱 = Tree 🌳
Plant 🌱 + Volcano 🌋 = Lava 🌋
Plant 🌱 + Smoke 💨 = Incense 🕯️
Plant 🌱 + Lava 🌋 = Volcano 🌋
Plant 🌱 + Tornado 🌪️ = Dust 🌫️
Plant 🌱 + Dust 🌫️ = Pollen 🌱
Plant 🌱 + Mountain 🏔️ = Tree 🌳
Volcano 🌋 + Volcano 🌋 = Mountain 🏔️
Volcano 🌋 + Smoke 💨 = Eruption 🌋
Volcano 🌋 + Lava 🌋 = Eruption 🌋
Volcano 🌋 + Tornado 🌪️ = Eruption 🌋
Volcano 🌋 + Dust 🌫️ = Ash 🌋
Volcano 🌋 + Mountain 🏔️ = Lava 🌋
Smoke 💨 + Smoke 💨 = Cloud ☁️
Smoke 💨 + Lava 🌋 = Volcano 🌋
Smoke 💨 + Tornado 🌪️ = Volcano 🌋
Smoke 💨 + Dust 🌫️ = Dust 🌫️
Smoke 💨 + Mountain 🏔️ = Volcano 🌋
Lava 🌋 + Lava 🌋 = Volcano 🌋
Lava 🌋 + Tornado 🌪️ = Volcano 🌋
Lava 🌋 + Dust 🌫️ = Volcano 🌋
Lava 🌋 + Mountain 🏔️ = Volcano 🌋
Tornado 🌪️ + Tornado 🌪️ = Hurricane 🌀
Tornado 🌪️ + Dust 🌫️ = Dust Storm 🌪️
Tornado 🌪️ + Mountain 🏔️ = Volcano 🌋
Dust 🌫️ + Dust 🌫️ = Sand 🏖️
Dust 🌫️ + Mountain 🏔️ = Volcano 🌋
Mountain 🏔️ + Mountain 🏔️ = Mountain Range 🏔️
